time,value
2023-01-01T00:00:08.998,0.2457
2023-01-01T00:00:43.315,0.2458
2023-01-01T00:00:57.585,0.2459
2023-01-01T00:01:47.673,0.2459
2023-01-01T00:02:35.558,0.2458
2023-01-01T00:03:25.623,0.2458
2023-01-01T00:03:56.396,0.2457
2023-01-01T00:04:31.462,0.2456
2023-01-01T00:04:32.566,0.2455
2023-01-01T00:04:46.901,0.2456
2023-01-01T00:04:46.945,0.2457
2023-01-01T00:05:37.073,0.2457
2023-01-01T00:06:30.410,0.2456
2023-01-01T00:07:26.842,0.2455
2023-01-01T00:08:14.589,0.2454
2023-01-01T00:09:04.623,0.2454
2023-01-01T00:09:14.945,0.2453
2023-01-01T00:09:18.406,0.2452
2023-01-01T00:09:26.751,0.2453
2023-01-01T00:10:22.982,0.2454
2023-01-01T00:10:38.535,0.2453
2023-01-01T00:11:03.681,0.2454
2023-01-01T00:11:46.689,0.2453
2023-01-01T00:11:47.899,0.2452
2023-01-01T00:12:23.606,0.2451
2023-01-01T00:12:25.079,0.245
2023-01-01T00:12:25.255,0.2449
2023-01-01T00:12:26.078,0.2448
2023-01-01T00:12:26.478,0.2449
2023-01-01T00:12:54.430,0.2448
2023-01-01T00:12:59.840,0.2449
2023-01-01T00:13:00.785,0.245
2023-01-01T00:13:44.257,0.2451
2023-01-01T00:13:57.301,0.2452
2023-01-01T00:14:00.639,0.2453
2023-01-01T00:14:44.429,0.2452
2023-01-01T00:14:45.343,0.2451
2023-01-01T00:14:50.503,0.245
2023-01-01T00:15:10.615,0.2451
2023-01-01T00:15:23.010,0.245
2023-01-01T00:15:33.723,0.2451
2023-01-01T00:15:39.836,0.2452
2023-01-01T00:15:40.337,0.2451
2023-01-01T00:15:46.377,0.245
2023-01-01T00:15:48.232,0.2451
2023-01-01T00:16:06.281,0.245
2023-01-01T00:16:19.692,0.2451
2023-01-01T00:16:19.696,0.245
2023-01-01T00:17:11.005,0.2449
2023-01-01T00:17:14.005,0.2448
2023-01-01T00:17:17.087,0.2447
2023-01-01T00:17:27.370,0.2448
2023-01-01T00:17:42.682,0.2449
2023-01-01T00:17:42.686,0.2448
2023-01-01T00:17:42.700,0.2449
2023-01-01T00:17:43.169,0.245
2023-01-01T00:17:43.209,0.2449
2023-01-01T00:17:43.255,0.245
2023-01-01T00:17:43.282,0.2449
2023-01-01T00:17:43.320,0.245
2023-01-01T00:17:43.327,0.2449
2023-01-01T00:17:43.334,0.245
2023-01-01T00:17:43.337,0.2449
2023-01-01T00:17:43.355,0.245
2023-01-01T00:17:43.362,0.2449
2023-01-01T00:17:54.327,0.2448
2023-01-01T00:18:44.373,0.2448
2023-01-01T00:18:55.874,0.2449
2023-01-01T00:18:55.911,0.245
2023-01-01T00:18:58.232,0.2449
2023-01-01T00:19:46.387,0.245
2023-01-01T00:20:32.789,0.2451
2023-01-01T00:21:22.823,0.2451
2023-01-01T00:22:04.443,0.2452
2023-01-01T00:22:18.437,0.2451
2023-01-01T00:22:18.530,0.245
2023-01-01T00:22:38.277,0.2449
2023-01-01T00:22:47.681,0.2448
2023-01-01T00:22:55.577,0.2449
2023-01-01T00:23:20.400,0.245
2023-01-01T00:23:32.546,0.2451
2023-01-01T00:24:30.513,0.245
2023-01-01T00:25:14.776,0.2451
2023-01-01T00:26:04.823,0.2451
2023-01-01T00:26:22.527,0.2452
2023-01-01T00:26:23.862,0.2451
2023-01-01T00:27:14.173,0.2451
2023-01-01T00:27:50.610,0.2452
2023-01-01T00:28:43.653,0.2453
2023-01-01T00:28:43.771,0.2454
2023-01-01T00:28:49.875,0.2453
2023-01-01T00:29:13.212,0.2452
2023-01-01T00:30:03.223,0.2452
2023-01-01T00:30:20.739,0.2451
2023-01-01T00:30:30.155,0.245
2023-01-01T00:30:38.458,0.2449
2023-01-01T00:31:28.473,0.2449
2023-01-01T00:32:20.396,0.2448
2023-01-01T00:32:20.801,0.2447
2023-01-01T00:33:11.423,0.2447
2023-01-01T00:34:08.975,0.2446
2023-01-01T00:34:10.317,0.2447
2023-01-01T00:34:11.078,0.2446
2023-01-01T00:34:51.003,0.2445
2023-01-01T00:34:53.163,0.2444
2023-01-01T00:34:56.286,0.2445
2023-01-01T00:35:26.935,0.2444
2023-01-01T00:35:51.184,0.2443
2023-01-01T00:35:58.081,0.2444
2023-01-01T00:36:20.414,0.2443
2023-01-01T00:36:20.760,0.2442
2023-01-01T00:36:27.078,0.2443
2023-01-01T00:36:30.279,0.2444
2023-01-01T00:36:48.431,0.2443
2023-01-01T00:37:21.041,0.2442
2023-01-01T00:37:38.351,0.2443
2023-01-01T00:37:42.991,0.2444
2023-01-01T00:38:16.900,0.2445
2023-01-01T00:38:17.409,0.2446
2023-01-01T00:38:19.175,0.2445
2023-01-01T00:38:28.665,0.2446
2023-01-01T00:39:10.817,0.2445
2023-01-01T00:39:16.674,0.2446
2023-01-01T00:39:41.560,0.2447
2023-01-01T00:40:09.980,0.2446
2023-01-01T00:41:00.023,0.2446
2023-01-01T00:41:12.285,0.2445
2023-01-01T00:41:20.121,0.2444
2023-01-01T00:41:35.167,0.2445
2023-01-01T00:42:25.174,0.2445
2023-01-01T00:43:15.223,0.2445
2023-01-01T00:44:13.948,0.2444
2023-01-01T00:45:00.096,0.2443
2023-01-01T00:45:42.818,0.2444
2023-01-01T00:46:15.031,0.2445
2023-01-01T00:47:05.073,0.2445
2023-01-01T00:47:38.893,0.2446
2023-01-01T00:48:07.270,0.2447
2023-01-01T00:48:57.273,0.2447
2023-01-01T00:49:28.287,0.2446
2023-01-01T00:50:18.323,0.2446
2023-01-01T00:51:08.373,0.2446
2023-01-01T00:51:58.374,0.2446
2023-01-01T00:52:48.423,0.2446
2023-01-01T00:53:38.473,0.2446
2023-01-01T00:54:12.549,0.2447
2023-01-01T00:55:02.573,0.2447
2023-01-01T00:55:52.623,0.2447
2023-01-01T00:56:10.364,0.2446
2023-01-01T00:57:00.373,0.2446
2023-01-01T00:57:50.373,0.2446
2023-01-01T00:58:40.423,0.2446
2023-01-01T00:59:30.473,0.2446
2023-01-01T01:00:20.523,0.2446
2023-01-01T01:01:10.523,0.2446
2023-01-01T01:02:00.523,0.2446
2023-01-01T01:02:50.573,0.2446
2023-01-01T01:03:40.623,0.2446
2023-01-01T01:04:38.252,0.2445
2023-01-01T01:04:38.295,0.2444
2023-01-01T01:05:18.833,0.2445
2023-01-01T01:06:08.873,0.2445
2023-01-01T01:06:58.873,0.2445
2023-01-01T01:07:48.923,0.2445
2023-01-01T01:08:38.974,0.2445
2023-01-01T01:09:36.274,0.2446
2023-01-01T01:09:44.274,0.2447
2023-01-01T01:10:34.423,0.2447
2023-01-01T01:10:56.971,0.2446
2023-01-01T01:11:47.074,0.2446
2023-01-01T01:12:33.735,0.2445
2023-01-01T01:13:23.823,0.2445
2023-01-01T01:14:13.873,0.2445
2023-01-01T01:15:03.873,0.2445
2023-01-01T01:15:39.202,0.2446
2023-01-01T01:16:17.194,0.2447
2023-01-01T01:16:40.311,0.2446
2023-01-01T01:17:30.323,0.2446
2023-01-01T01:17:59.618,0.2447
2023-01-01T01:18:49.773,0.2447
2023-01-01T01:19:39.823,0.2447
2023-01-01T01:20:29.873,0.2447
2023-01-01T01:21:08.350,0.2446
2023-01-01T01:21:35.726,0.2445
2023-01-01T01:22:25.823,0.2445
2023-01-01T01:23:15.873,0.2445
2023-01-01T01:24:13.007,0.2446
2023-01-01T01:25:03.023,0.2446
2023-01-01T01:25:53.073,0.2446
2023-01-01T01:26:43.073,0.2446
2023-01-01T01:27:33.123,0.2446
2023-01-01T01:28:23.124,0.2446
2023-01-01T01:29:13.173,0.2446
2023-01-01T01:30:03.173,0.2446
2023-01-01T01:31:00.679,0.2445
2023-01-01T01:31:51.814,0.2446
2023-01-01T01:32:41.874,0.2446
2023-01-01T01:33:10.752,0.2445
2023-01-01T01:33:32.557,0.2444
2023-01-01T01:33:34.270,0.2445
2023-01-01T01:34:24.323,0.2445
2023-01-01T01:35:14.373,0.2445
2023-01-01T01:35:40.512,0.2446
2023-01-01T01:36:04.675,0.2447
2023-01-01T01:36:13.828,0.2446
2023-01-01T01:37:03.973,0.2446
2023-01-01T01:37:53.973,0.2446
2023-01-01T01:38:44.024,0.2446
2023-01-01T01:39:34.073,0.2446
2023-01-01T01:40:29.250,0.2447
2023-01-01T01:41:20.273,0.2447
2023-01-01T01:41:55.077,0.2448
2023-01-01T01:42:45.173,0.2448
2023-01-01T01:43:11.122,0.2449
2023-01-01T01:44:01.123,0.2449
2023-01-01T01:44:51.123,0.2449
2023-01-01T01:45:41.124,0.2449
2023-01-01T01:46:31.274,0.2449
2023-01-01T01:46:53.016,0.245
2023-01-01T01:47:43.073,0.245
2023-01-01T01:48:11.239,0.2451
2023-01-01T01:49:01.323,0.2451
2023-01-01T01:49:32.298,0.2452
2023-01-01T01:50:22.373,0.2452
2023-01-01T01:51:12.424,0.2452
2023-01-01T01:52:01.740,0.2451
2023-01-01T01:52:52.123,0.2451
2023-01-01T01:53:42.173,0.2451
2023-01-01T01:54:32.223,0.2451
2023-01-01T01:55:22.274,0.2451
2023-01-01T01:56:12.373,0.2451
2023-01-01T01:56:40.621,0.2452
