time,value
2023-01-01T00:00:08.995,0.2456
2023-01-01T00:00:43.319,0.2457
2023-01-01T00:00:57.587,0.2458
2023-01-01T00:01:47.673,0.2458
2023-01-01T00:02:35.555,0.2457
2023-01-01T00:03:25.723,0.2457
2023-01-01T00:03:56.395,0.2456
2023-01-01T00:04:31.462,0.2455
2023-01-01T00:04:32.559,0.2454
2023-01-01T00:04:46.902,0.2455
2023-01-01T00:04:46.954,0.2456
2023-01-01T00:05:37.073,0.2456
2023-01-01T00:06:30.410,0.2455
2023-01-01T00:07:26.837,0.2454
2023-01-01T00:08:14.584,0.2453
2023-01-01T00:09:04.623,0.2453
2023-01-01T00:09:14.939,0.2452
2023-01-01T00:09:18.406,0.2451
2023-01-01T00:09:26.751,0.2452
2023-01-01T00:10:22.985,0.2453
2023-01-01T00:10:38.535,0.2452
2023-01-01T00:11:03.684,0.2453
2023-01-01T00:11:46.689,0.2452
2023-01-01T00:11:47.899,0.2451
2023-01-01T00:12:23.604,0.245
2023-01-01T00:12:25.079,0.2449
2023-01-01T00:12:25.254,0.2448
2023-01-01T00:12:25.259,0.2447
2023-01-01T00:12:25.259,0.2448
2023-01-01T00:12:25.260,0.2447
2023-01-01T00:12:25.345,0.2448
2023-01-01T00:12:26.076,0.2447
2023-01-01T00:12:26.482,0.2448
2023-01-01T00:12:54.425,0.2447
2023-01-01T00:12:59.844,0.2448
2023-01-01T00:13:00.789,0.2449
2023-01-01T00:13:44.261,0.245
2023-01-01T00:13:57.303,0.2451
2023-01-01T00:14:00.642,0.2452
2023-01-01T00:14:44.426,0.2451
2023-01-01T00:14:45.341,0.245
2023-01-01T00:14:50.501,0.2449
2023-01-01T00:15:10.616,0.245
2023-01-01T00:15:23.008,0.2449
2023-01-01T00:15:33.726,0.245
2023-01-01T00:15:39.840,0.2451
2023-01-01T00:15:40.332,0.245
2023-01-01T00:15:46.373,0.2449
2023-01-01T00:15:48.234,0.245
2023-01-01T00:16:06.276,0.2449
2023-01-01T00:16:56.323,0.2449
2023-01-01T00:17:11.001,0.2448
2023-01-01T00:17:14.000,0.2447
2023-01-01T00:17:17.084,0.2446
2023-01-01T00:17:27.373,0.2447
2023-01-01T00:17:42.701,0.2448
2023-01-01T00:17:43.177,0.2449
2023-01-01T00:17:43.204,0.2448
2023-01-01T00:17:54.326,0.2447
2023-01-01T00:18:44.373,0.2447
2023-01-01T00:18:55.874,0.2448
2023-01-01T00:18:55.911,0.2449
2023-01-01T00:18:58.228,0.2448
2023-01-01T00:19:46.389,0.2449
2023-01-01T00:20:32.790,0.245
2023-01-01T00:21:22.823,0.245
2023-01-01T00:22:04.448,0.2451
2023-01-01T00:22:18.436,0.245
2023-01-01T00:22:18.526,0.2449
2023-01-01T00:22:38.274,0.2448
2023-01-01T00:22:47.681,0.2447
2023-01-01T00:22:55.578,0.2448
2023-01-01T00:23:20.400,0.2449
2023-01-01T00:23:32.550,0.245
2023-01-01T00:24:30.512,0.2449
2023-01-01T00:25:14.777,0.245
2023-01-01T00:26:04.823,0.245
2023-01-01T00:26:22.528,0.2451
2023-01-01T00:26:23.854,0.245
2023-01-01T00:27:14.323,0.245
2023-01-01T00:27:50.612,0.2451
2023-01-01T00:28:43.657,0.2452
2023-01-01T00:28:43.778,0.2453
2023-01-01T00:28:49.873,0.2452
2023-01-01T00:29:13.206,0.2451
2023-01-01T00:30:03.223,0.2451
2023-01-01T00:30:20.739,0.245
2023-01-01T00:30:30.152,0.2449
2023-01-01T00:30:38.454,0.2448
2023-01-01T00:31:28.524,0.2448
2023-01-01T00:32:20.393,0.2447
2023-01-01T00:32:20.796,0.2446
2023-01-01T00:33:12.273,0.2446
