time,value
2024-04-01T00:00:00.661,0.6501
2024-04-01T00:05:57.481,0.6505
2024-04-01T00:16:54.303,0.6503
2024-04-01T00:27:18.910,0.6492
2024-04-01T00:36:26.235,0.6473
2024-04-01T00:43:56.051,0.6462
2024-04-01T00:51:21.412,0.6481
2024-04-01T01:00:03.193,0.6489
2024-04-01T01:05:11.377,0.6504
2024-04-01T01:09:45.016,0.6505
2024-04-01T01:20:18.055,0.6487
2024-04-01T01:26:44.580,0.6485
2024-04-01T01:37:13.175,0.6479
2024-04-01T01:47:37.418,0.6475
2024-04-01T01:56:20.657,0.6491
2024-04-01T02:05:18.474,0.6478
2024-04-01T02:19:32.947,0.648
2024-04-01T02:32:40.870,0.6468
2024-04-01T02:40:31.557,0.6473
2024-04-01T02:49:37.294,0.6468
2024-04-01T02:57:14.229,0.6464
2024-04-01T03:07:02.591,0.646
2024-04-01T03:16:02.769,0.645
2024-04-01T03:23:40.618,0.6455
2024-04-01T03:30:01.934,0.6443
2024-04-01T03:37:24.613,0.6443
2024-04-01T03:51:05.686,0.6452
2024-04-01T04:07:17.958,0.6449
2024-04-01T04:24:01.389,0.6441
2024-04-01T04:35:17.800,0.6447
2024-04-01T04:46:00.480,0.646
2024-04-01T04:59:19.077,0.6454
2024-04-01T05:12:05.504,0.6461
2024-04-01T05:27:55.800,0.644
2024-04-01T05:34:34.399,0.6424
2024-04-01T05:36:06.033,0.6409
2024-04-01T05:39:03.346,0.6402
2024-04-01T05:39:26.886,0.6397
2024-04-01T05:40:18.547,0.6388
2024-04-01T05:42:21.987,0.6382
2024-04-01T05:44:09.578,0.6394
2024-04-01T05:46:29.538,0.6368
2024-04-01T05:47:05.739,0.6356
2024-04-01T05:47:32.287,0.6354
2024-04-01T05:47:51.070,0.6337
2024-04-01T05:48:06.541,0.6324
2024-04-01T05:48:16.292,0.6304
2024-04-01T05:48:16.661,0.6299
2024-04-01T05:48:20.256,0.6284
2024-04-01T05:48:22.825,0.627
2024-04-01T05:48:28.393,0.63
2024-04-01T05:48:36.829,0.6291
2024-04-01T05:48:44.930,0.625
2024-04-01T05:48:48.816,0.623
2024-04-01T05:48:53.978,0.6262
2024-04-01T05:48:59.978,0.6278
2024-04-01T05:49:12.262,0.6278
2024-04-01T05:49:25.370,0.6284
2024-04-01T05:49:37.904,0.6291
2024-04-01T05:49:52.442,0.6276
2024-04-01T05:50:11.558,0.6258
2024-04-01T05:50:18.605,0.6221
2024-04-01T05:50:24.831,0.6233
2024-04-01T05:50:31.605,0.6209
2024-04-01T05:50:34.669,0.62
2024-04-01T05:50:35.541,0.6183
2024-04-01T05:50:38.891,0.6158
2024-04-01T05:50:45.639,0.6206
2024-04-01T05:50:55.568,0.6225
2024-04-01T05:51:05.954,0.622
2024-04-01T05:51:12.314,0.6218
2024-04-01T05:51:30.682,0.6218
2024-04-01T05:51:54.639,0.6247
2024-04-01T05:52:21.414,0.6228
2024-04-01T05:52:30.873,0.6227
2024-04-01T05:52:46.845,0.6211
2024-04-01T05:53:02.951,0.6236
2024-04-01T05:53:21.890,0.6201
2024-04-01T05:53:37.491,0.6188
2024-04-01T05:53:48.500,0.6189
2024-04-01T05:54:02.244,0.6199
2024-04-01T05:54:32.898,0.6217
2024-04-01T05:55:15.199,0.6237
2024-04-01T05:56:02.075,0.6226
2024-04-01T05:56:47.319,0.6201
2024-04-01T05:57:26.279,0.618
2024-04-01T05:58:20.760,0.6229
2024-04-01T05:59:51.978,0.6203
2024-04-01T06:00:37.318,0.6205
2024-04-01T06:01:31.762,0.6225
2024-04-01T06:02:10.471,0.6203
2024-04-01T06:03:02.359,0.6185
2024-04-01T06:03:41.990,0.6217
2024-04-01T06:04:44.003,0.6248
2024-04-01T06:06:06.588,0.6241
2024-04-01T06:07:46.003,0.6254
2024-04-01T06:09:20.852,0.6264
2024-04-01T06:12:17.365,0.6263
2024-04-01T06:14:40.401,0.6273
2024-04-01T06:16:14.155,0.6284
2024-04-01T06:18:07.338,0.6289
2024-04-01T06:20:15.882,0.6269
2024-04-01T06:23:35.369,0.6282
2024-04-01T06:26:23.521,0.6278
2024-04-01T06:31:40.308,0.6288
2024-04-01T06:36:21.654,0.6293
2024-04-01T06:40:33.365,0.6287
2024-04-01T06:46:15.659,0.6289
2024-04-01T06:51:36.621,0.627
2024-04-01T06:58:49.042,0.6276
2024-04-01T07:05:54.790,0.6297
2024-04-01T07:11:11.061,0.6298
2024-04-01T07:19:04.583,0.6289
2024-04-01T07:27:33.269,0.6306
2024-04-01T07:34:04.082,0.6302
2024-04-01T07:43:18.629,0.6296
2024-04-01T07:54:02.775,0.6319
2024-04-01T08:00:44.344,0.6298
2024-04-01T08:04:57.878,0.6287
2024-04-01T08:08:12.391,0.6266
2024-04-01T08:12:49.964,0.6257
2024-04-01T08:17:56.691,0.6262
2024-04-01T08:22:26.796,0.6246
2024-04-01T08:25:06.757,0.6226
2024-04-01T08:27:39.609,0.6247
2024-04-01T08:32:07.237,0.6226
2024-04-01T08:33:04.661,0.6233
2024-04-01T08:37:05.988,0.6235
2024-04-01T08:44:28.674,0.6254
2024-04-01T08:52:54.955,0.6241
2024-04-01T08:53:52.264,0.6288
2024-04-01T08:53:52.780,0.6307
2024-04-01T08:53:56.684,0.6324
2024-04-01T08:54:01.492,0.6324
2024-04-01T08:54:22.425,0.6299
2024-04-01T08:57:00.988,0.6304
2024-04-01T09:00:42.664,0.6313
2024-04-01T09:01:29.729,0.6314
2024-04-01T09:03:19.979,0.6332
2024-04-01T09:06:34.408,0.6326
2024-04-01T09:12:37.668,0.6316
2024-04-01T09:19:23.749,0.6306
2024-04-01T09:26:39.108,0.6309
2024-04-01T09:31:40.001,0.6304
2024-04-01T09:39:13.164,0.6304
2024-04-01T09:48:41.197,0.6318
2024-04-01T09:57:30.179,0.6307
2024-04-01T10:05:31.246,0.6291
2024-04-01T10:10:37.838,0.6287
2024-04-01T10:17:28.992,0.6304
2024-04-01T10:25:42.369,0.6281
2024-04-01T10:33:09.348,0.6284
2024-04-01T10:45:29.404,0.63
2024-04-01T10:56:03.790,0.6314
2024-04-01T11:05:47.224,0.6314
2024-04-01T11:13:46.271,0.6327
2024-04-01T11:24:03.422,0.6312
2024-04-01T11:32:52.811,0.6297
2024-04-01T11:41:07.462,0.6284
2024-04-01T11:56:04.378,0.6279
2024-04-01T12:01:42.369,0.6271
2024-04-01T12:11:07.260,0.6282
2024-04-01T12:14:38.218,0.6251
2024-04-01T12:14:38.312,0.6227
2024-04-01T12:14:39.496,0.6242
2024-04-01T12:15:09.541,0.6238
2024-04-01T12:19:41.279,0.6249
2024-04-01T12:26:13.192,0.6254
2024-04-01T12:38:56.914,0.6257
2024-04-01T12:48:07.282,0.6274
2024-04-01T13:00:34.361,0.6274
2024-04-01T13:11:56.885,0.6264
2024-04-01T13:20:44.090,0.6246
